sailing/boating	航行的/划船的
driving	正在驾驶
biking	正在骑车
transporting	正在运输
sunbathing	日光浴
touring	转动，旋转
hiking	徒步旅行
climbing	爬山
camping	露营
reading	阅读
studying	学习
training	训练
research	研究
diving	潜水
swimming	游泳
bathing	洗澡沐浴
eating	吃
cleaning	清洁打扫
socializing	社交联谊
congregating	集合，聚集
waiting	等待
competing	对抗，竞争
sports	运动
exercise	锻炼
playing	玩耍
gaming	赌博，博弈
spectating	出席观看
farming	农事，耕作
constructing	修建
shopping	购物
medical	医学的，医药的
working	工作的
using-tools	使用工具
digging	挖掘
business	商务
praying	祈祷
fencing	击剑；栅栏
railing	栏杆，篱笆
wire	电线
railroad	铁路
trees	树木
grass	草丛
vegetation	植被
shrubbery	灌木林
foilage	一棵树或植物的叶子（总称）
leaves	树叶
flowers	花
asphalt	沥青
pavement	路面
shingles	鹅卵石；小招牌
carpet	地毯
brick	砖
tiles	瓦片，瓷砖
concrete	混凝土，水泥
metal	金属的
paper	纸
wood	木头
vinyl	乙烯基类塑料（总称）
plastic	塑料制品，可塑的，柔软的
cloth	布
sand	沙子
rocky	多石的
dirt-soil	污垢，脏乱的泥土
marble	大理石
glass	玻璃
waves	波浪
ocean	海洋
running-water	自来水，流水
still-water	静水，死水
ice	冰块
snow	雪
clouds	云
smoke	烟雾
fire	火
natural-light	自然光
sunny	阳光灿烂的，快活的
electric-lighting	电气照明
aged	老年人
glossy	有光泽的
matte	磨砂
sterile	不毛的，贫瘠的
moist	潮湿的
dry	干的
dirty	脏的
rusty	生锈的，腐蚀的
warm	温暖的
cold	寒冷的
natural	自然的
man-made	人造的
open-area	开放区，开阔地
semi-enclosed-area	半封闭区域
enclosed-area	封闭区域
far-away-horizon	遥远的地平线
nohorizon	没有地平线
rugged	崎岖的
vertical-components	垂直分量
horizontal-components	水平分量
symmetrical	对称的
cluttered	杂乱的
scary	吓人的
soothing	舒缓的，镇静的
stressful	有压力的
